,schemeCode,schemeName
206,100286,Kotak Equity Hybrid - Payout of Income Distribution cum capital withdrawal option
207,100289,Kotak Tech
208,100290,Kotak MNC
209,100291,Kotak Bond-Deposit-Dividend
210,100292,Kotak Bond-Deposit-Growth
211,100298,Kotak Bond Regular Plan Quaterly Dividend
212,100298,Kotak Bond Regular Plan Quaterly Payout of Income Distribution cum capital withdrawal option
213,100299,Kotak Bond Regular Plan Growth
214,100299,Kotak Bond Fund - Regular Plan Growth
215,100300,Kotak Bond Regular Plan Annual Dividend
216,100300,Kotak Bond Regular Plan Annual Payout of Income Distribution cum capital withdrawal option
217,100300,Kotak Bond Fund - Regular Plan - Standard IDCW Option
218,100301,Kotak Bond Regular Plan Bonus Plan
219,100312,LIC MF Flexi Cap Fund-Regular Plan-Dividend
220,100312,LIC MF Multicap Fund-Regular Plan-Dividend
221,100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW
222,100313,LIC MF Flexi Cap Fund-Regular Plan-Growth
223,100313,LIC MF Multicap Fund-Regular Plan-Growth
224,100314,LIC MF Medium to Long Duration Bond Fund-Regular Plan-IDCW
225,100314,LIC MF Bond Fund-Regular Plan-IDCW
226,100314,LIC MF Bond Fund-Regular Plan-Dividend
227,100315,LIC MF Medium to Long Duration Bond Fund-Regular Plan-Growth
228,100315,LIC MF Bond Fund-Regular Plan-Growth
229,100316,LIC MF Government Securities Fund-Regular Plan-IDCW
230,100316,LIC MF Government Securities Fund-Regular Plan-Dividend
231,100316,LIC MF Gilt Fund-Regular Plan-IDCW
232,100317,LIC MF Government Securities Fund-Regular Plan-Growth
233,100317,LIC MF Gilt Fund-Regular Plan-Growth
234,100318,LIC MF Government Securities Fund-PF Plan-Dividend
235,100318,LIC MF Gilt Fund-PF Plan-IDCW
236,100318,LIC MF Government Securities Fund-PF Plan-IDCW
237,100319,LIC MF Government Securities Fund-PF Plan-Growth
238,100319,LIC MF Gilt Fund-PF Plan-Growth
239,100321,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW
240,100321,LIC MF Equity Hybrid Fund-Regular Plan-Dividend
241,100321,LIC MF Equity Hybrid Fund-Regular Plan-IDCW
242,100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth
243,100323,LIC MF Equity Hybrid Fund-Regular Plan-Growth
244,100325,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-Dividend Reinvestment
245,100325,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment
246,100332,LIC MF Large Cap Fund-Regular Plan-Dividend
247,100332,LIC MF Large Cap Fund-Regular Plan-IDCW
248,100337,SaharaTax Gain-Dividend
249,100338,SaharaTax Gain-Growth
250,100347,Morgan Stanley Growth Fund- Regular Growth Plan
251,100348,ICICI Prudential Large & Mid Cap Fund - IDCW
252,100348,ICICI Prudential Large & Mid Cap Fund - Dividend
