date,nav
18-03-2019,10.87930
15-03-2019,10.86670
14-03-2019,10.86500
13-03-2019,10.84380
12-03-2019,10.84440
11-03-2019,10.83830
08-03-2019,10.82670
07-03-2019,10.82140
06-03-2019,10.81680
05-03-2019,10.81120
01-03-2019,10.79660
28-02-2019,10.79210
27-02-2019,10.78540
26-02-2019,10.79060
25-02-2019,10.79330
22-02-2019,10.78400
21-02-2019,10.78280
20-02-2019,10.78110
18-02-2019,10.77280
15-02-2019,10.77680
14-02-2019,10.77720
13-02-2019,10.77190
12-02-2019,10.74570
11-02-2019,10.74460
08-02-2019,10.73250
07-02-2019,10.72330
06-02-2019,10.69730
05-02-2019,10.69410
04-02-2019,10.69440
01-02-2019,10.69090
31-01-2019,10.70330
30-01-2019,10.70000
29-01-2019,10.69900
28-01-2019,10.69850
25-01-2019,10.69190
24-01-2019,10.69040
23-01-2019,10.68480
22-01-2019,10.68010
21-01-2019,10.67260
18-01-2019,10.66690
17-01-2019,10.66720
16-01-2019,10.66530
15-01-2019,10.66890
14-01-2019,10.66760
11-01-2019,10.65560
10-01-2019,10.64780
09-01-2019,10.64570
08-01-2019,10.64090
07-01-2019,10.63140
04-01-2019,10.62460
03-01-2019,10.62140
02-01-2019,10.62160
01-01-2019,10.61710
31-12-2018,10.61810
28-12-2018,10.61170
27-12-2018,10.61110
26-12-2018,10.60560
24-12-2018,10.59560
21-12-2018,10.59400
20-12-2018,10.59180
19-12-2018,10.58810
18-12-2018,10.56540
17-12-2018,10.56130
14-12-2018,10.55230
13-12-2018,10.54880
12-12-2018,10.55180
11-12-2018,10.53400
10-12-2018,10.53220
07-12-2018,10.54020
06-12-2018,10.54190
05-12-2018,10.53620
04-12-2018,10.52140
03-12-2018,10.51980
30-11-2018,10.51420
29-11-2018,10.50740
28-11-2018,10.49240
27-11-2018,10.48260
26-11-2018,10.48290
22-11-2018,10.47180
20-11-2018,10.45690
19-11-2018,10.45210
16-11-2018,10.44410
15-11-2018,10.44290
14-11-2018,10.44010
13-11-2018,10.42630
12-11-2018,10.41300
09-11-2018,10.40850
06-11-2018,10.40030
05-11-2018,10.39560
02-11-2018,10.38780
01-11-2018,10.37740
31-10-2018,10.37390
30-10-2018,10.37830
29-10-2018,10.37490
26-10-2018,10.36630
25-10-2018,10.36570
24-10-2018,10.36440
23-10-2018,10.36300
22-10-2018,10.35970
19-10-2018,10.35240
17-10-2018,10.34800
16-10-2018,10.34510
15-10-2018,10.33660
12-10-2018,10.32370
11-10-2018,10.31980
10-10-2018,10.30700
09-10-2018,10.29780
08-10-2018,10.30400
05-10-2018,10.29600
04-10-2018,10.28040
03-10-2018,10.28910
01-10-2018,10.29490
28-09-2018,10.28090
27-09-2018,10.26810
26-09-2018,10.25460
25-09-2018,10.24850
24-09-2018,10.26450
21-09-2018,10.27510
19-09-2018,10.27620
18-09-2018,10.27180
17-09-2018,10.26630
14-09-2018,10.26930
12-09-2018,10.25840
11-09-2018,10.26450
10-09-2018,10.26540
07-09-2018,10.28610
06-09-2018,10.28210
05-09-2018,10.28010
04-09-2018,10.28830
03-09-2018,10.29500
31-08-2018,10.29010
30-08-2018,10.29400
29-08-2018,10.29570
28-08-2018,10.29000
27-08-2018,10.29040
24-08-2018,10.28620
23-08-2018,10.28620
21-08-2018,10.28210
20-08-2018,10.27830
16-08-2018,10.26760
14-08-2018,10.26870
13-08-2018,10.26650
10-08-2018,10.26390
09-08-2018,10.26020
08-08-2018,10.25580
07-08-2018,10.25280
06-08-2018,10.25540
03-08-2018,10.24760
02-08-2018,10.24810
01-08-2018,10.24520
31-07-2018,10.23560
30-07-2018,10.23320
27-07-2018,10.22720
26-07-2018,10.22430
25-07-2018,10.22130
24-07-2018,10.21610
23-07-2018,10.21430
20-07-2018,10.20520
19-07-2018,10.20160
18-07-2018,10.19880
17-07-2018,10.20110
16-07-2018,10.19280
13-07-2018,10.18700
12-07-2018,10.18090
11-07-2018,10.16900
10-07-2018,10.16640
09-07-2018,10.16130
06-07-2018,10.15290
05-07-2018,10.15230
04-07-2018,10.15000
03-07-2018,10.14050
